(8.11.4/8.11.4/corp-1.06)	 0.230420 
(CST)	 0.572346 
(Content	 0.198207 
(Unverified)	 0.198207 
([192.168.110.237])	 0.198207 
(unverified)	 0.198207 
-	 1.084118 
-0500	 0.820526 
-0600	 0.150590 
-0800	 0.418246 
2001	 0.530688 
2002	 0.811480 
4.2.1)	 0.704815 
<TD	 2.843870 
<TR>	 2.405726 
<td	 2.843870 
<tr>	 2.405726 
=	 3.119030 
>	 2.777400 
A	 0.575898 
ABOUT	 1.608438 
ALL	 1.084118 
AN	 1.308593 
AND	 0.503850 
ANY	 1.293898 
ARE	 0.910806 
AS	 1.066532 
AT	 0.988324 
About	 1.608438 
All	 1.084118 
An	 1.308593 
And	 0.503850 
Any	 1.293898 
Are	 0.910806 
As	 1.066532 
At	 0.988324 
BE	 0.829654 
BUT	 1.680934 
Be	 0.829654 
But	 1.680934 
CAN	 1.293898 
COMPANY	 2.118598 
Can	 1.293898 
Company	 2.118598 
Content-Transfer-Encoding:	 0.415212 
Content-transfer-encoding:	 0.415212 
DEC	 2.242431 
DO	 1.409768 
Dec	 2.242431 
Do	 1.409768 
ENRON	 2.118598 
ESMTP	 0.198207 
Enron	 2.118598 
FOR	 0.164639 
FOr	 0.164639 
Feb	 2.102096 
For	 0.164639 
Fri	 1.670250 
GAS	 2.628315 
Gas	 2.628315 
HAVE	 1.021096 
Has	 1.417991 
Have	 1.021096 
I	 1.361797 
ID	 0.188501 
IF	 1.084118 
IN	 0.630736 
INFORMATION	 1.670250 
IS	 0.583038 
IT	 1.054978 
ITS	 1.818925 
Id	 0.188501 
If	 1.084118 
In	 0.630736 
Information	 1.670250 
Is	 0.583038 
It	 1.054978 
Its	 1.818925 
Jan	 1.670250 
MAY	 1.588655 
MORE	 1.628621 
Mar	 2.362335 
May	 1.588655 
MoRE	 1.628621 
Mon	 1.736136 
More	 1.628621 
NEW	 1.513219 
NO	 1.354021 
NOT	 1.032263 
New	 1.513219 
No	 1.354021 
Not	 1.032263 
Nov	 1.806670 
OF	 0.615816 
ON	 0.784824 
OR	 0.930897 
OUR	 1.126395 
Oct	 1.950521 
Of	 0.615816 
On	 0.784824 
Or	 0.930897 
Our	 1.126395 
PLEASE	 1.072360 
Please	 1.072360 
Return-Path:	 0.484184 
Return-path:	 0.484184 
SAT	 2.187472 
SERVICE	 1.531551 
SMTPRS	 0.198207 
SUN	 2.135377 
Sat	 2.187472 
Service	 1.531551 
Sun	 2.135377 
TECHNOLOGIES	 0.198207 
THAT	 0.956592 
THE	 0.421290 
THIS	 0.623248 
TO	 0.442855 
Technologies	 0.198207 
Text/Plain;	 0.409172 
That	 0.956592 
The	 0.421290 
These	 1.782602 
This	 0.623248 
Thu	 1.550226 
To	 0.442855 
Tue	 1.443076 
UP	 1.443076 
US	 1.724849 
Up	 1.443076 
WAS	 1.540845 
WE	 1.072360 
WILL	 1.026664 
Was	 1.540845 
We	 1.072360 
Wed	 1.486336 
Will	 1.026664 
YOU	 0.638280 
YOUR	 0.848165 
You	 0.638280 
Your	 0.848165 
a	 0.575898 
about	 1.608438 
all	 1.084118 
an	 1.308593 
and	 0.503850 
any	 1.293898 
are	 0.910806 
as	 1.066532 
at	 0.988324 
be	 0.829654 
but	 1.680934 
can	 1.293898 
company	 2.118598 
corp.enron.com	 0.700776 
do	 1.409768 
esmtp	 0.198207 
for	 0.164639 
gas	 2.628315 
has	 1.417991 
have	 1.021096 
i	 1.361797 
id	 0.188501 
if	 1.084118 
in	 0.630736 
information	 1.670250 
is	 0.583038 
it	 1.054978 
its	 1.818925 
mailman.enron.com	 0.210474 
may	 1.588655 
more	 1.628621 
nahou-mscnx06p.corp.enron.com	 0.198207 
new	 1.513219 
no	 1.354021 
not	 1.032263 
of	 0.615816 
on	 0.784824 
or	 0.930897 
our	 1.126395 
please	 1.072360 
sat	 2.187472 
service	 1.531551 
sun	 2.135377 
technologies	 0.198207 
text/plain;	 0.409172 
that	 0.956592 
the	 0.421290 
these	 1.782602 
this	 0.623248 
to	 0.442855 
up	 1.443076 
us	 1.724849 
was	 1.540845 
we	 1.072360 
will	 1.026664 
you	 0.638280 
your	 0.848165 
